Lab,Target,isCtrl,Batch,dPCR,Sample code,SamName,Dilution,R1,R2,R3,R4
NIB,N2,FALSE,1,TRUE,P1,Asuragen,1.00E+00,12381686387,12054250967,14324706552,
NIST,N2,FALSE,1,TRUE,P1,Asuragen,1.00E+00,10728710225,12751961126,12105280971,
NIST,N2,FALSE,2,TRUE,P1,Asuragen,1.00E+00,16977637977,15059838856,17015050001,
NIST,N2,FALSE,3,TRUE,P1,Asuragen,1.00E+00,9440966182,9771040466,8210916636,
NML,N2,FALSE,1,TRUE,P1,Asuragen,1.00E+00,10669336045,9902682701,10918421384,9729675093
NML,N2,FALSE,2,TRUE,P1,Asuragen,1.00E+00,9296970344,10065655693,9394150754,8664577340
NML,N2,FALSE,3,TRUE,P1,Asuragen,1.00E+00,9799544578,9193700430,9972197457,9209898229
NIB,N2,FALSE,1,TRUE,P2,Imperial College,1,1778.243696,1925.236768,1391.92819,
NIST,N2,FALSE,1,TRUE,P2,Imperial College,1,1635.33579,2004.003245,2593.124389,
NIST,N2,FALSE,2,TRUE,P2,Imperial College,1,883.9606512,1797.451844,2037.439266,
NIST,N2,FALSE,3,TRUE,P2,Imperial College,1,1016.171332,1761.136054,1580.445393,
NML,N2,FALSE,1,TRUE,P2,Imperial College,1,892.8788569,658.9995053,750.4096934,1263.753357
NML,N2,FALSE,2,TRUE,P2,Imperial College,1,893.790581,868.2553794,362.7770884,169.6916754
NML,N2,FALSE,3,TRUE,P2,Imperial College,1,1059.281284,1393.114393,686.012295,606.9875227
NIB,N2,FALSE,1,TRUE,I1,Instand,1,172033.6225,138968.9005,143550.2301,
NIST,N2,FALSE,1,TRUE,I1,Instand,1,195024.1852,178997.5194,185062.8587,
NIST,N2,FALSE,2,TRUE,I1,Instand,1,208879.6213,194782.416,205952.6805,
NIST,N2,FALSE,3,TRUE,I1,Instand,1,154811.3829,155790.7133,149063.5843,
NML,N2,FALSE,1,TRUE,I1,Instand,1,110069.0582,106589.9155,100116.5519,102905.8582
NML,N2,FALSE,2,TRUE,I1,Instand,1,,136974.662,133234.1966,135162.2447
