Lab,Target,SamName,isCtrl,isCalib,Replicate,dPCR,Raw.Value,Experiment
Biogazelle,E2:N,Asuragen,TRUE,TRUE,1,FALSE,20.73591723,1
Biogazelle,E2:N,Asuragen,TRUE,TRUE,2,FALSE,20.4437836,1
Biogazelle,E2:N,LGC,TRUE,TRUE,1,FALSE,33.24,1
Biogazelle,E2:N,LGC,TRUE,TRUE,2,FALSE,32.16,1
Biogazelle,E2:N,LGC,TRUE,TRUE,3,FALSE,34.04,1
Biogazelle,E2:N,LGC,TRUE,TRUE,4,FALSE,31.98,1
Biogazelle,E2:N,AcroMetrix,TRUE,TRUE,1,FALSE,33.31447711,1
Biogazelle,E2:N,AcroMetrix,TRUE,TRUE,2,FALSE,33.0699904,1
Biogazelle,E2:N,AcroMetrix,TRUE,TRUE,3,FALSE,32.732687,1
Biogazelle,E2:N,AcroMetrix,TRUE,TRUE,4,FALSE,31.86701341,1
Biogazelle,E2:N,AcroMetrix,TRUE,TRUE,5,FALSE,32.64776587,1
Biogazelle,E2:N,s01,FALSE,FALSE,1,FALSE,19.5794474,1
Biogazelle,E2:N,s02,FALSE,FALSE,1,FALSE,16.73473754,1
Biogazelle,E2:N,s03,FALSE,FALSE,1,FALSE,16.56325785,1
Biogazelle,E2:N,s04,FALSE,FALSE,1,FALSE,17.78001424,1
Biogazelle,E2:N,s05,FALSE,FALSE,1,FALSE,18.05830146,1
Biogazelle,E2:N,s06,FALSE,FALSE,1,FALSE,18.11591143,1
Biogazelle,E2:N,s07,FALSE,FALSE,1,FALSE,23.55866662,1
Biogazelle,E2:N,s08,FALSE,FALSE,1,FALSE,23.17419996,1
Biogazelle,E2:N,s09,FALSE,FALSE,1,FALSE,24.43647926,1
Biogazelle,E2:N,s10,FALSE,FALSE,1,FALSE,26.63603103,1
Biogazelle,E2:N,s11,FALSE,FALSE,1,FALSE,NA,1
Biogazelle,E2:N,s12,FALSE,FALSE,1,FALSE,NA,1
Biogazelle,E2:N,s13,FALSE,FALSE,1,FALSE,NA,1
Biogazelle,E2:N,s14,FALSE,FALSE,1,FALSE,NA,1
Biogazelle,E2:N,s15,FALSE,FALSE,1,FALSE,NA,1
LANL,N1,Positive.Control,TRUE,FALSE,1,FALSE,31.0938,1
